index,logodds_difference,correct,total_logprob
80,0.0009867021581158042,0,0.6926698982715607
81,0.06343325227499008,1,0.6754033863544464
82,0.003957494627684355,0,0.6901673078536987
83,0.07680981606245041,1,0.6720341145992279
84,0.0008915219223126769,0,0.6926400363445282
85,0.005427081137895584,0,0.6897614300251007
86,0.08628978580236435,1,0.6696063876152039
87,0.004792566876858473,0,0.6896167099475861
88,0.04413639008998871,1,0.6807621717453003
89,0.003943842835724354,0,0.6901192963123322
90,0.004628350026905537,0,0.690042108297348
91,0.018627194687724113,0,0.6877119839191437
92,0.0004173073102720082,0,0.6928311586380005
93,0.005085740238428116,0,0.6894295811653137
94,0.042755454778671265,1,0.6798045039176941
95,0.0034615485928952694,0,0.6905698776245117
96,0.0008500562398694456,0,0.6926797032356262
97,0.005223559215664864,0,0.6893370151519775
98,0.006193002685904503,0,0.689576268196106
99,0.006378715392202139,0,0.6892391741275787
100,0.07384954392910004,1,0.6719156205654144
101,0.006527404300868511,0,0.6891410648822784
102,0.003448454663157463,0,0.6902113258838654
103,0.004951737355440855,0,0.6895183622837067
104,0.00463512446731329,0,0.6897424757480621
105,0.003524310886859894,0,0.6898949146270752
106,0.0005285101942718029,0,0.692781537771225
107,0.11604005843400955,1,0.6610867381095886
108,0.0004242946160957217,1,0.6928240656852722
109,0.1427871286869049,1,0.6554785072803497
110,0.00044949084986001253,0,0.6928460001945496
111,0.00046590217971242964,0,0.6928194463253021
112,0.00023056271311361343,0,0.6929165422916412
113,0.00048304194933734834,0,0.6928212642669678
114,0.051335811614990234,1,0.6777028739452362
115,0.0628339946269989,1,0.6749992668628693
116,0.005353215150535107,0,0.689594954252243
117,0.026474282145500183,1,0.6853210926055908
118,0.0035028450656682253,0,0.6899954378604889
119,0.005134838633239269,0,0.6901349723339081
120,0.0006710339803248644,0,0.6927403211593628
121,0.002989389467984438,0,0.690266489982605
122,0.05704747140407562,1,0.6748096346855164
123,0.04532690346240997,1,0.6797559857368469
124,0.004422957077622414,0,0.6898570954799652
125,0.004649204667657614,0,0.6899142563343048
126,0.0008228878723457456,0,0.6927126944065094
127,0.08472393453121185,1,0.667942613363266
128,0.0005285176448523998,0,0.692781001329422
129,0.0041692983359098434,0,0.6900580823421478
130,0.00648970901966095,0,0.6891789138317108
131,0.004932643845677376,0,0.6897894144058228
132,0.12581537663936615,1,0.6591172218322754
133,0.004521290771663189,0,0.6897799968719482
134,0.005422611255198717,0,0.6892165541648865
135,0.004484806675463915,0,0.6899994015693665
136,0.0481470562517643,1,0.6773239970207214
137,0.10335928946733475,1,0.6641554832458496
138,0.00487756822258234,0,0.6899004578590393
139,0.0005525903543457389,0,0.6927958428859711
140,0.0053575485944747925,0,0.6893357634544373
141,0.000550921424292028,0,0.6927909851074219
142,0.0038364464417099953,0,0.6900554001331329
143,0.004434275906533003,0,0.689487099647522
144,0.03375796228647232,1,0.6829879283905029
145,0.004526469390839338,0,0.6897801458835602
146,0.0008782485383562744,0,0.6926929950714111
147,0.0036822790279984474,0,0.6902175545692444
148,0.004032045602798462,0,0.6896562278270721
149,0.005305444821715355,0,0.6895756423473358
150,0.0033684768714010715,0,0.6903177201747894
151,0.005533695220947266,0,0.6894843578338623
152,0.0002949053596239537,0,0.6928979158401489
153,0.04047548025846481,1,0.6812723875045776
154,0.0036977152340114117,0,0.6899921596050262
155,0.0003941470058634877,0,0.6928684115409851
156,0.046487659215927124,1,0.6794455945491791
157,0.027904745191335678,1,0.6845481693744659
158,0.003978976979851723,0,0.6898426115512848
159,0.004237535875290632,0,0.6901004314422607
160,0.004735413007438183,0,0.689562201499939
161,0.016080277040600777,1,0.6878152787685394
162,0.004176771268248558,0,0.6900300979614258
163,0.0006043983157724142,0,0.6928082406520844
164,0.06050671264529228,1,0.6767177581787109
165,0.005688400473445654,0,0.689229279756546
166,0.000364281062502414,0,0.692850261926651
167,0.06294707953929901,1,0.6746573746204376
168,0.0005109537160024047,0,0.6927337050437927
169,0.004139882978051901,0,0.6901339888572693
170,0.004783364944159985,0,0.6895097196102142
171,0.019641200080513954,1,0.6867805123329163
172,0.0005320789059624076,1,0.6928065717220306
173,0.005180885549634695,0,0.6900784373283386
174,0.004993065260350704,0,0.689557820558548
175,0.005268785171210766,0,0.6895594596862793
